Station_Id_C Year Mon Day Hour WIN_D_Avg_2mi WIN_S_Avg_2mi TEM PRE_1h
53996 2021 8 3 19 185 0.9000 25.2000 0.0000 
53996 2021 8 3 20 205 0.9000 25.3000 0.0000 
53996 2021 8 3 21 194 0.3000 25.2000 0.0000 
53996 2021 8 3 22 181 1.1000 25.3000 0.0000 
54301 2021 8 3 18 195 1.7000 15.4000 0.0000 
54301 2021 8 3 19 173 0.3000 14.6000 0.0000 
54301 2021 8 3 20 256 0.5000 13.4000 0.2000 
54301 2021 8 3 21 175 1.5000 13.1000 0.0000 
54301 2021 8 3 22 272 1.3000 13.1000 0.0000 
54304 2021 8 3 18 143 1.0000 17.8000 0.0000 
54304 2021 8 3 19 317 0.7000 17.4000 0.0000 
54304 2021 8 3 20 139 1.4000 16.6000 0.0000 
54304 2021 8 3 21 999017 0.1000 15.8000 0.0000 
54304 2021 8 3 22 229 1.4000 15.5000 0.0000 
54308 2021 8 3 18 307 5.9000 18.1000 2.5000 
54308 2021 8 3 19 145 1.6000 17.1000 12.1000 
54308 2021 8 3 20 58 0.3000 17.0000 0.5000 
54308 2021 8 3 21 170 0.7000 17.0000 0.0000 
54308 2021 8 3 22 309 1.1000 17.2000 0.0000 
54311 2021 8 3 18 154 0.3000 18.7000 0.6000 
54311 2021 8 3 19 285 8.8000 17.8000 7.4000 
54311 2021 8 3 20 139 1.1000 15.9000 10.1000 
54311 2021 8 3 21 167 1.9000 15.7000 0.6000 
54311 2021 8 3 22 126 1.0000 15.0000 0.0000 
54318 2021 8 3 18 315 0.3000 20.5000 0.1000 
54318 2021 8 3 19 179 1.3000 20.6000 0.2000 
54318 2021 8 3 20 224 1.9000 18.4000 5.8000 
54318 2021 8 3 21 80 0.7000 17.9000 0.3000 
54318 2021 8 3 22 242 0.8000 17.6000 0.3000 
54319 2021 8 3 18 215 1.1000 20.9000 0.0000 
54319 2021 8 3 19 294 1.1000 20.5000 0.0000 
54319 2021 8 3 20 279 1.3000 20.6000 0.0000 
54319 2021 8 3 21 246 2.2000 21.3000 0.0000 
54319 2021 8 3 22 279 2.5000 19.5000 0.1000 
54401 2021 8 3 18 42 1.6000 19.6000 0.0000 
54401 2021 8 3 19 38 1.1000 18.8000 0.0000 
54401 2021 8 3 20 40 0.7000 18.4000 0.0000 
54401 2021 8 3 21 999017 0.0000 18.1000 0.0000 
54401 2021 8 3 22 999017 0.0000 18.2000 0.0000 
54404 2021 8 3 18 999017 0.2000 19.7000 4.6000 
54404 2021 8 3 19 999017 0.0000 19.4000 0.1000 
54404 2021 8 3 20 267 0.7000 18.3000 0.0000 
54404 2021 8 3 21 999017 0.2000 18.7000 0.0000 
54404 2021 8 3 22 5 1.0000 18.4000 0.0000 
54405 2021 8 3 18 323 0.6000 21.9000 0.7000 
54405 2021 8 3 19 999017 0.0000 21.9000 0.0000 
54405 2021 8 3 20 257 0.8000 21.5000 0.0000 
54405 2021 8 3 21 999017 0.2000 20.8000 0.0000 
54405 2021 8 3 22 241 1.0000 20.9000 0.0000 
54408 2021 8 3 18 234 0.8000 22.6000 0.0000 
54408 2021 8 3 19 104 1.1000 22.1000 0.0000 
54408 2021 8 3 20 51 0.5000 21.4000 0.0000 
54408 2021 8 3 21 179 0.9000 20.6000 0.0000 
54408 2021 8 3 22 268 0.4000 20.7000 0.0000 
54420 2021 8 3 18 244 0.8000 21.9000 0.1000 
54420 2021 8 3 19 233 1.9000 21.9000 0.5000 
54420 2021 8 3 20 241 2.5000 21.7000 8.6000 
54420 2021 8 3 21 78 2.4000 19.2000 1.8000 
54420 2021 8 3 22 42 1.2000 18.1000 3.5000 
54423 2021 8 3 18 346 0.5000 21.6000 0.0000 
54423 2021 8 3 19 349 1.2000 21.3000 0.0000 
54423 2021 8 3 20 334 1.4000 21.1000 0.2000 
54423 2021 8 3 21 328 2.2000 18.8000 4.0000 
54423 2021 8 3 22 192 0.8000 17.7000 10.7000 
54425 2021 8 3 18 249 4.2000 22.0000 0.0000 
